type	name	mode	prot	user	group	size	last-modified	directories	files
directory	/home/aine/.local/share/.cpan/build/String-Random-0.30-0								
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/Build	0755	-rwxr-xr-x	root	root	1453	2020-08-29T00:12:08		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/Build.PL	0644	-rw-r--r--	500	500	1294	2018-05-23T02:55:55		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/Changes	0644	-rw-r--r--	500	500	3374	2018-05-23T02:55:55		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/LICENSE	0644	-rw-r--r--	500	500	20569	2018-05-23T02:55:55		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/MANIFEST	0644	-rw-r--r--	500	500	493	2018-05-23T02:55:55		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/MANIFEST.SKIP	0644	-rw-r--r--	500	500	3	2018-05-23T02:55:55		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/META.json	0644	-rw-r--r--	500	500	16502	2018-05-23T02:55:55		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/META.yml	0644	-rw-r--r--	500	500	10325	2018-05-23T02:55:55		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/MYMETA.json	0644	-rw-r--r--	root	root	16088	2020-08-29T00:12:08		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/MYMETA.yml	0644	-rw-r--r--	root	root	10325	2020-08-29T00:12:08		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/README	0644	-rw-r--r--	500	500	390	2018-05-23T02:55:55		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/TODO	0644	-rw-r--r--	500	500	447	2018-05-23T02:55:55		
directory	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/_build	0755	drwxr-xr-x	root	root	4096	2020-08-29T00:12:08		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/_build/auto_features	0644	-rw-r--r--	root	root	21	2020-08-29T00:12:08		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/_build/build_params	0644	-rw-r--r--	root	root	4868	2020-08-29T00:12:08		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/_build/cleanup	0644	-rw-r--r--	root	root	46	2020-08-29T00:12:08		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/_build/config_data	0644	-rw-r--r--	root	root	21	2020-08-29T00:12:08		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/_build/features	0644	-rw-r--r--	root	root	21	2020-08-29T00:12:08		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/_build/magicnum	0644	-rw-r--r--	root	root	6	2020-08-29T00:12:08		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/_build/notes	0644	-rw-r--r--	root	root	21	2020-08-29T00:12:08		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/_build/prereqs	0644	-rw-r--r--	root	root	767	2020-08-29T00:12:08		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/_build/runtime_params	0644	-rw-r--r--	root	root	58	2020-08-29T00:12:08		
directory	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/blib	0755	drwxr-xr-x	root	root	4096	2020-08-29T00:12:08		
directory	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/blib/arch	0755	drwxr-xr-x	root	root	4096	2020-08-29T00:12:08		
directory	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/blib/lib	0755	drwxr-xr-x	root	root	4096	2020-08-29T00:12:08		
directory	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/blib/lib/String	0755	drwxr-xr-x	root	root	4096	2020-08-29T00:12:08		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/blib/lib/String/Random.pm	0444	-r--r--r--	root	root	18334	2020-08-29T00:12:08		
directory	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/blib/libdoc	0755	drwxr-xr-x	root	root	4096	2020-08-29T00:12:08		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/blib/libdoc/String::Random.3pm	0644	-rw-r--r--	root	root	14444	2020-08-29T00:12:08		
